IDENTIFIER	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj	GO	arabidopsis	rice
bradi1g00220.1|pacid:21819770	1.659373557	1.688432755	0.524665878	3.162724371	0.001563002	0.005648181		SCARECROW-like 14	"SCARECROW, putative, expressed"
bradi1g00310.1|pacid:21815464	-1.356518627	1.04176897	0.500825205	-2.708567008	0.006757446	0.020150346			expressed protein
bradi1g00370.1|pacid:21819731	-1.918044518	101.6170852	0.217231689	-8.829487658	1.05E-18	2.71E-17			expressed protein
bradi1g00470.3|pacid:21818406	-1.015911368	1419.762699	0.161902315	-6.274841516	3.50E-10	4.19E-09	GO:0005515	glutathione S-transferase THETA 1	"glutathione S-transferase, N-terminal domain containing protein, expressed"
bradi1g00690.1|pacid:21822360	-1.744801802	130.1593884	0.135049472	-12.91972324	3.48E-38	2.36E-36	GO:0016787	type one protein phosphatase 1	"Ser/Thr protein phosphatase family protein, putative, expressed"
bradi1g00840.1|pacid:21819383	1.036158864	8.113044944	0.371774057	2.787066083	0.005318763	0.01642106		Protein of unknown function (DUF668)	"avr9/Cf-9 rapidly elicited protein, putative, expressed"
bradi1g00920.1|pacid:21822111	-1.282075882	7.679653102	0.481272836	-2.663927371	0.007723424	0.022595716		Domain of unknown function (DUF303) 	"receptor protein kinase, putative, expressed"
bradi1g00950.1|pacid:21820029	3.339091804	55.6734421	0.242723057	13.75679691	4.64E-43	3.62E-41	"GO:0016491,GO:0016706,GO:0055114"	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	"gibberellin 20 oxidase 1, putative, expressed"
bradi1g00970.1|pacid:21820716	2.413638415	77.65869086	0.309207487	7.805886068	5.91E-15	1.13E-13		phloem protein 2-B10	"OsFBX438 - F-box domain containing protein, expressed"
bradi1g00980.1|pacid:21816899	1.002087503	2700.697251	0.171391423	5.846777427	5.01E-09	5.14E-08	"GO:0005488,GO:0044238"	"30S ribosomal protein, putative"	"plastid-specific 30S ribosomal protein 1, chloroplast precursor, putative, expressed"
bradi1g01090.1|pacid:21819831	-1.326209024	449.0740924	0.089303943	-14.85050911	6.90E-50	6.98E-48	"GO:0008060,GO:0008270,GO:0032312"	ARF-GAP domain 9	"GTPase-activating protein, putative, expressed"
bradi1g01140.1|pacid:21819198	1.087317461	18.53195609	0.311866335	3.486485519	0.000489412	0.00203752	GO:0016787	cleavage and polyadenylation specificity factor 73-I	"metallo-beta-lactamase, putative, expressed"
bradi1g01200.1|pacid:21821340	1.483220301	29.46763996	0.234057153	6.337000533	2.34E-10	2.86E-09	GO:0016787	cleavage and polyadenylation specificity factor 73-I	"metallo-beta-lactamase, putative, expressed"
bradi1g01310.1|pacid:21823526	-1.674904508	10.52286875	0.353320049	-4.740474007	2.13E-06	1.46E-05		hydroxyproline-rich glycoprotein family protein	
bradi1g01430.1|pacid:21819771	1.655269745	9.712401988	0.40754954	4.061517881	4.88E-05	0.000257973	"GO:0004672,GO:0006468"	Leucine-rich repeat protein kinase family protein	"receptor-like protein kinase 2 precursor, putative, expressed"
bradi1g01436.1|pacid:21821646	2.202281094	17.71230415	0.404014905	5.45098972	5.01E-08	4.45E-07	"GO:0004672,GO:0005524,GO:0006468,GO:0005515"	Leucine-rich repeat protein kinase family protein	"receptor protein kinase, putative, expressed"
bradi1g01610.1|pacid:21819468	-1.308635251	1.420051673	0.523325722	-2.500613282	0.012397848	0.03389486	"GO:0005507,GO:0009055"	plantacyanin	"plastocyanin-like domain containing protein, putative, expressed"
bradi1g01630.1|pacid:21818145	-2.235383029	29.79866327	0.320887117	-6.966259817	3.25E-12	4.80E-11		Sec14p-like phosphatidylinositol transfer family protein	"CRAL/TRIO domain containing protein, expressed"
bradi1g01750.1|pacid:21815927	-2.082906425	211.3925471	0.127471396	-16.34018684	5.11E-60	6.58E-58		Nucleotide-diphospho-sugar transferase family protein	"regulatory protein, putative, expressed"
bradi1g01820.1|pacid:21820895	-1.146967905	13.22240086	0.476930938	-2.404893064	0.016177199	0.042419402	GO:0005515	ROP-interactive CRIB motif-containing protein 4	"P21-Rho-binding domain containing protein, putative, expressed"
bradi1g01860.1|pacid:21814979	1.632422435	1.254431806	0.520135944	3.138453424	0.001698419	0.006076297		Hyaluronan / mRNA binding family	"nuclear antigen, putative, expressed"
bradi1g01870.1|pacid:21822044	-1.362781845	116.7013489	0.16572221	-8.223290324	1.98E-16	4.30E-15		RmlC-like cupins superfamily protein	"pirin, putative, expressed"
bradi1g02290.1|pacid:21822145	1.544895903	3.638517865	0.521179303	2.964231109	0.003034403	0.010072906	"GO:0004672,GO:0005524,GO:0006468"	wall associated kinase 4	"OsWAK129b - OsWAK receptor-like protein kinase, expressed"
bradi1g02300.1|pacid:21819019	-1.22822102	1.027401013	0.491061886	-2.501153225	0.012378961	0.033853662		hydroxyproline-rich glycoprotein family protein	expressed protein
bradi1g02540.1|pacid:21819192	-1.396801128	27.10439421	0.254899077	-5.479820271	4.26E-08	3.82E-07			expressed protein
