IDENTIFIER	log2FoldChange
bradi1g01890.1|pacid:21816984	2.09628175349734
bradi1g02050.1|pacid:21820744	2.67712033557316
bradi1g03390.1|pacid:21816387	2.09997064588015
bradi1g05100.4|pacid:21818957	2.0639622775982
bradi1g05100.2|pacid:21818955	2.0639622775982
bradi1g05100.1|pacid:21818954	2.0639622775982
bradi1g05100.3|pacid:21818956	2.0639622775982
bradi1g05450.2|pacid:21823655	2.46647809781617
bradi1g05450.3|pacid:21823654	2.46647809781617
bradi1g05450.1|pacid:21823653	2.46647809781617
bradi1g06190.1|pacid:21816835	2.7597025224103
bradi1g07550.1|pacid:21817308	-2.0402260301835
bradi1g08550.2|pacid:21821248	-2.24122297303474
bradi1g09177.2|pacid:21821327	2.57668065028046
bradi1g09177.1|pacid:21821326	2.57668065028046
bradi1g11250.1|pacid:21823189	2.09304015681568
bradi1g11450.1|pacid:21819224	-3.0119750536817
bradi1g11630.1|pacid:21820279	-2.2114971280887
bradi1g11710.1|pacid:21820777	-2.23382433316066
bradi1g12580.1|pacid:21816904	2.45329062813461
bradi1g13760.1|pacid:21820124	2.41351983777056
bradi1g14170.3|pacid:21816090	-2.43489961099163
bradi1g14170.1|pacid:21816089	-2.43489961099163
bradi1g14170.2|pacid:21816091	-2.43489961099163
bradi1g15627.1|pacid:21820099	-2.65954573117821
bradi1g17430.1|pacid:21816776	-3.07952822483921
bradi1g20350.1|pacid:21823520	2.05008873030065
bradi1g22200.1|pacid:21823089	2.72215120448978
bradi1g22200.2|pacid:21823090	2.72215120448978
bradi1g23110.1|pacid:21819255	2.15162772005205
bradi1g23360.1|pacid:21823618	3.23823788603912
bradi1g24790.1|pacid:21819690	2.04053643881771
bradi1g27480.1|pacid:21821333	2.07726757131583
bradi1g30850.1|pacid:21823172	-2.41559356665239
bradi1g30850.2|pacid:21823173	-2.41559356665239
bradi1g30870.1|pacid:21822619	3.25537455780459
bradi1g31910.1|pacid:21822626	-3.42244504809162
bradi1g32060.1|pacid:21816220	2.58813220100916
bradi1g33050.1|pacid:21814902	2.59206333127583
bradi1g33690.1|pacid:21816685	-2.33196354375982
bradi1g33760.1|pacid:21816474	-2.70640542208755
bradi1g33950.1|pacid:21823645	-2.62298284866086
bradi1g35120.1|pacid:21817278	-2.08904920582962
bradi1g35680.1|pacid:21823016	2.35679790442613
bradi1g36150.1|pacid:21820805	2.03695153218311
bradi1g36480.1|pacid:21816878	2.23226219590248
bradi1g36490.1|pacid:21822767	2.44191267778298
bradi1g36510.1|pacid:21814915	2.58751666842519
bradi1g36900.1|pacid:21820727	2.345501685374
bradi1g38210.1|pacid:21819538	2.2199731285701
bradi1g38740.1|pacid:21819354	2.19002780698163
bradi1g42760.2|pacid:21816403	2.26198290930596
bradi1g42760.1|pacid:21816402	2.26198290930596
bradi1g43320.1|pacid:21816064	2.03217274794436
bradi1g43417.1|pacid:21822806	2.51238641872392
bradi1g44170.1|pacid:21816729	2.72185603161888
bradi1g44390.1|pacid:21815434	2.05061177346092
bradi1g44470.1|pacid:21815110	3.16448672514553
bradi1g44630.1|pacid:21815569	2.22215147295952
bradi1g48050.1|pacid:21815134	-2.04886397257912
bradi1g48050.2|pacid:21815135	-2.04886397257912
bradi1g49560.1|pacid:21816341	2.50032247117079
bradi1g49560.2|pacid:21816342	2.50032247117079
bradi1g52290.1|pacid:21822903	-2.03465829458767
bradi1g53770.1|pacid:21819908	2.40983787033491
bradi1g53850.1|pacid:21822043	-2.29943550771972
bradi1g55600.1|pacid:21820743	2.58750602136925
bradi1g57040.1|pacid:21820899	2.21047850025407
bradi1g57630.1|pacid:21822024	-2.13331882257175
bradi1g58415.1|pacid:21822237	-3.15617198796714
bradi1g58857.1|pacid:21816975	-5.63829227687828
bradi1g59587.1|pacid:21816629	3.12550831050567
bradi1g62520.1|pacid:21823155	-2.40519411097756
bradi1g63927.1|pacid:21820941	2.11194035545562
bradi1g64050.1|pacid:21818085	2.52276845522456
bradi1g64280.1|pacid:21817312	3.17632263770726
bradi1g64290.1|pacid:21816343	3.00879122745352
bradi1g64630.1|pacid:21820122	-2.11970460808435
bradi1g65500.1|pacid:21820521	2.25084908374104
bradi1g65520.1|pacid:21815328	2.5263373055301
bradi1g66110.1|pacid:21817254	-2.02709178196283
bradi1g66800.1|pacid:21821527	-2.35230702119775
bradi1g67067.1|pacid:21820365	2.41269947353119
bradi1g70970.1|pacid:21820684	2.27034968163108
bradi1g71740.1|pacid:21816481	2.16121929962678
bradi1g71950.1|pacid:21822052	2.36290491370478
bradi1g71970.1|pacid:21818570	2.44959803648481
bradi1g72440.1|pacid:21817389	2.45785690628349
bradi1g72590.1|pacid:21820770	2.03993336888303
bradi1g72610.1|pacid:21819669	2.62946033800815
bradi1g74040.1|pacid:21822247	-2.58186753141436
bradi1g75640.1|pacid:21815571	2.08748004193226
bradi1g77330.1|pacid:21817128	2.42659000138301
bradi2g01200.1|pacid:21809484	2.03566514392633
bradi2g02310.1|pacid:21804165	2.49957431760995
bradi2g03467.1|pacid:21803186	2.08272644816578
bradi2g04980.1|pacid:21807515	2.07320900200887
bradi2g05070.1|pacid:21805650	2.21781304300353
bradi2g05340.1|pacid:21809379	2.17271226942828
bradi2g05800.1|pacid:21808999	2.42736052463086
bradi2g05832.1|pacid:21804271	2.2490740327882
