IDENTIFIER	log2FoldChange
bradi1g00920.1|pacid:21822111	-2.74322660083519
bradi1g00970.1|pacid:21820716	3.2072793379187
bradi1g00980.1|pacid:21816899	2.46125182444441
bradi1g00980.2|pacid:21816900	2.46125182444441
bradi1g01890.1|pacid:21816984	-2.30791777568825
bradi1g03207.1|pacid:21820765	-2.01585039358483
bradi1g03390.1|pacid:21816387	-2.30152553772763
bradi1g03470.1|pacid:21818914	2.21245326898564
bradi1g03510.1|pacid:21818007	2.67332723617391
bradi1g03760.1|pacid:21821650	-5.59055132349489
bradi1g03790.1|pacid:21819744	-5.92869494369789
bradi1g04150.1|pacid:21820881	-3.05163029235251
bradi1g04907.1|pacid:21817346	-2.3124229642612
bradi1g05100.1|pacid:21818954	-3.18753738860459
bradi1g05100.2|pacid:21818955	-3.18753738860459
bradi1g05100.3|pacid:21818956	-3.18753738860459
bradi1g05100.4|pacid:21818957	-3.18753738860459
bradi1g05460.1|pacid:21823119	-2.02236715116441
bradi1g05460.2|pacid:21823120	-2.02236715116441
bradi1g05480.1|pacid:21823397	3.99544600352643
bradi1g06050.1|pacid:21815574	-2.81661351148721
bradi1g07430.1|pacid:21818525	-2.30583171177968
bradi1g07550.1|pacid:21817308	2.73851957896391
bradi1g07660.1|pacid:21821544	-2.35014514180447
bradi1g07890.1|pacid:21816834	-2.47460576493391
bradi1g07900.1|pacid:21822701	-3.08002622991883
bradi1g08120.1|pacid:21816636	-2.74440398780698
bradi1g08230.1|pacid:21816977	-2.45416574492102
bradi1g08357.1|pacid:21816019	2.98841225032295
bradi1g08550.2|pacid:21821248	4.20826059275879
bradi1g08820.1|pacid:21815347	2.46078083371554
bradi1g09010.1|pacid:21822683	-2.38183176217705
bradi1g09040.1|pacid:21820936	-2.64656999435679
bradi1g09240.1|pacid:21821287	-3.07727651403764
bradi1g10140.1|pacid:21819628	3.09746349314445
bradi1g10140.2|pacid:21819629	3.09746349314445
bradi1g10540.1|pacid:21814988	-2.37848007124788
bradi1g11250.1|pacid:21823189	-2.23335557114626
bradi1g11590.1|pacid:21821156	-2.20656229312842
bradi1g11620.1|pacid:21816497	2.83796517111593
bradi1g11710.1|pacid:21820777	3.12493771762959
bradi1g12580.1|pacid:21816904	-3.81108243313371
bradi1g13240.1|pacid:21820676	-3.07460345015807
bradi1g13320.1|pacid:21820236	-2.69692414201388
bradi1g13760.1|pacid:21820124	-2.37973207871168
bradi1g14170.2|pacid:21816091	4.36098468704169
bradi1g14170.1|pacid:21816089	4.36098468704169
bradi1g14170.3|pacid:21816090	4.36098468704169
bradi1g14740.1|pacid:21818421	2.14928767275308
bradi1g15190.1|pacid:21816547	2.13205341423931
bradi1g15547.1|pacid:21819326	-3.15535771418177
bradi1g15627.1|pacid:21820099	3.71437219078974
bradi1g16010.1|pacid:21819502	-2.36895983206243
bradi1g16470.1|pacid:21819018	-2.08314807686418
bradi1g16480.1|pacid:21818811	-2.44556910408628
bradi1g17430.1|pacid:21816776	4.74285966836715
bradi1g18090.2|pacid:21819951	2.05427978892671
bradi1g18090.1|pacid:21819949	2.05427978892671
bradi1g18090.3|pacid:21819950	2.05427978892671
bradi1g18270.1|pacid:21823723	2.23114912064348
bradi1g18360.1|pacid:21821435	2.63193966790301
bradi1g18820.1|pacid:21817394	2.05486809750563
bradi1g19270.1|pacid:21822420	2.13402572865721
bradi1g19730.1|pacid:21816504	2.68434785070199
bradi1g19750.1|pacid:21819045	2.82093432975429
bradi1g20240.1|pacid:21822264	-2.11840606161794
bradi1g20260.1|pacid:21814960	-2.09201112414579
bradi1g20350.1|pacid:21823520	-3.68313338665707
bradi1g20592.1|pacid:21816117	-2.90621801835537
bradi1g20930.1|pacid:21823183	2.0580456383411
bradi1g21095.1|pacid:21818968	2.7094909729267
bradi1g21510.1|pacid:21816616	-3.11862485335503
bradi1g21955.1|pacid:21815096	-2.32104908679119
bradi1g22050.1|pacid:21823179	2.40010945457885
bradi1g23360.1|pacid:21823618	-2.95325625231715
bradi1g23390.1|pacid:21817830	-2.21323020657737
bradi1g23450.1|pacid:21820272	-2.05030625753377
bradi1g24790.1|pacid:21819690	-4.29415452431414
bradi1g24970.1|pacid:21822351	-2.54177708290355
bradi1g25400.1|pacid:21818355	-2.55048930623001
bradi1g25937.1|pacid:21820328	-2.00320008098479
bradi1g26000.2|pacid:21820300	-2.75724385656672
