seqname,source,feature,start,end,score,strand,frame,attribute,CRT
Bd1,phytozome9_0,gene,10581,11638,.,+,.,Bradi1g00200,2
Bd1,phytozome9_0,gene,18479,23039,.,+,.,Bradi1g00210,1
Bd1,phytozome9_0,gene,55668,56319,.,+,.,Bradi1g00220,1
Bd1,phytozome9_0,gene,59775,61313,.,+,.,Bradi1g00227,1
Bd1,phytozome9_0,gene,94978,100493,.,+,.,Bradi1g00237,3
Bd1,phytozome9_0,gene,104574,106621,.,-,.,Bradi1g00247,1
Bd1,phytozome9_0,gene,113302,121778,.,+,.,Bradi1g00260,1
Bd1,phytozome9_0,gene,123699,126002,.,+,.,Bradi1g00270,1
Bd1,phytozome9_0,gene,126302,133805,.,-,.,Bradi1g00280,2
Bd1,phytozome9_0,gene,150594,153007,.,-,.,Bradi1g00290,2
Bd1,phytozome9_0,gene,173241,174712,.,+,.,Bradi1g00300,1
Bd1,phytozome9_0,gene,201331,202797,.,-,.,Bradi1g00310,0
Bd1,phytozome9_0,gene,221297,224362,.,+,.,Bradi1g00320,0
Bd1,phytozome9_0,gene,228601,230810,.,+,.,Bradi1g00330,0
Bd1,phytozome9_0,gene,245977,247080,.,+,.,Bradi1g00340,1
Bd1,phytozome9_0,gene,282694,283548,.,+,.,Bradi1g00350,0
Bd1,phytozome9_0,gene,284014,284531,.,+,.,Bradi1g00360,0
Bd1,phytozome9_0,gene,306058,308922,.,+,.,Bradi1g00370,0
Bd1,phytozome9_0,gene,309730,312055,.,+,.,Bradi1g00380,0
Bd1,phytozome9_0,gene,324003,329816,.,+,.,Bradi1g00390,1
Bd1,phytozome9_0,gene,334416,335651,.,-,.,Bradi1g00400,0
Bd1,phytozome9_0,gene,339782,342148,.,-,.,Bradi1g00410,0
Bd1,phytozome9_0,gene,371140,372521,.,-,.,Bradi1g00417,0
Bd1,phytozome9_0,gene,373745,379286,.,+,.,Bradi1g00427,1
Bd1,phytozome9_0,gene,379610,380317,.,+,.,Bradi1g00440,0
Bd1,phytozome9_0,gene,383621,387469,.,-,.,Bradi1g00450,1
Bd1,phytozome9_0,gene,388064,396012,.,-,.,Bradi1g00460,1
Bd1,phytozome9_0,gene,399150,402659,.,+,.,Bradi1g00470,1
Bd1,phytozome9_0,gene,400545,407267,.,-,.,Bradi1g00480,1
Bd1,phytozome9_0,gene,411505,412921,.,+,.,Bradi1g00490,1
Bd1,phytozome9_0,gene,416266,418233,.,-,.,Bradi1g00497,1
Bd1,phytozome9_0,gene,422744,424450,.,+,.,Bradi1g00510,1
Bd1,phytozome9_0,gene,425618,430780,.,-,.,Bradi1g00517,3
Bd1,phytozome9_0,gene,435299,438047,.,+,.,Bradi1g00530,4
Bd1,phytozome9_0,gene,440902,442355,.,+,.,Bradi1g00540,0
Bd1,phytozome9_0,gene,442977,444093,.,-,.,Bradi1g00550,0
Bd1,phytozome9_0,gene,445389,452675,.,-,.,Bradi1g00560,0
Bd1,phytozome9_0,gene,455520,462813,.,-,.,Bradi1g00567,2
Bd1,phytozome9_0,gene,463748,468001,.,-,.,Bradi1g00580,0
Bd1,phytozome9_0,gene,471635,473601,.,-,.,Bradi1g00587,0
Bd1,phytozome9_0,gene,481247,482062,.,-,.,Bradi1g00600,1
Bd1,phytozome9_0,gene,485291,498694,.,+,.,Bradi1g00607,1
Bd1,phytozome9_0,gene,500221,502628,.,+,.,Bradi1g00620,1
Bd1,phytozome9_0,gene,502638,503538,.,-,.,Bradi1g00630,1
Bd1,phytozome9_0,gene,504334,505980,.,+,.,Bradi1g00640,0
Bd1,phytozome9_0,gene,515951,516775,.,+,.,Bradi1g00650,2
Bd1,phytozome9_0,gene,517657,518648,.,+,.,Bradi1g00660,1
Bd1,phytozome9_0,gene,521659,522548,.,+,.,Bradi1g00670,1
Bd1,phytozome9_0,gene,525723,528532,.,-,.,Bradi1g00677,0
Bd1,phytozome9_0,gene,534432,535942,.,+,.,Bradi1g00690,1
Bd1,phytozome9_0,gene,542752,544677,.,+,.,Bradi1g00700,1
Bd1,phytozome9_0,gene,545836,549477,.,-,.,Bradi1g00710,0
Bd1,phytozome9_0,gene,552185,555346,.,+,.,Bradi1g00720,0
Bd1,phytozome9_0,gene,555714,559377,.,+,.,Bradi1g00730,0
Bd1,phytozome9_0,gene,560682,564352,.,+,.,Bradi1g00750,1
