geneid,name,chr,start,end
Bradi4g35650,CBF3,Bd4,40976869,40977919
Bradi4g35570,CBF3_cluster,,,
Bradi4g35580,CBF3_cluster,,,
Bradi4g35590,CBF3_cluster,,,
Bradi4g35600,CBF3_cluster,,,
Bradi4g35610,CBF3_cluster,,,
Bradi4g35620,CBF3_cluster,,,
Bradi4g35630,CBF3_cluster,,,
Bradi2g59500,ICE1,,,
Bradi3g49190,MYB15,,,
Bradi5g15760,MYB15,,,
Bradi3g49180,MYB15,,,
Bradi1g09390,HOS1,,,
Bradi3g51200,COR47 homologue,,,
Bradi5g10860,COR47 homologue,,,
Bradi1g78800,ERD10 homologue there are a lot!,,,
Bradi5g10860,ERD10 homologue there are a lot!,,,
Bradi3g43850,ERD10 homologue there are a lot!,,,
Bradi3g43870,ERD10 homologue there are a lot!,,,
Bradi1g16480,ERD10 homologue there are a lot!,,,
