Chr,Start,End
BAK1_Brachypodium,0,2253
BAK1_Hordeum,0,2266
BAK1_Triticum,0,2249
BD_NADP,0,1841
BES1/BZR1_Brachypodium,0,1101
BES1/BZR1_Hordeum,0,1744
BES1/BZR1_Oryza,0,1330
BES1/BZR1_Triticum,0,939
BES1/BZR1_maize,0,1494
BIN2(GSK1)_Oryza,0,1783
BIN2_Brachypodium,0,1813
BIN2_Sorghum,0,1901
BIN2_Triticum,0,1573
BRI1_Brachypodium,0,3775
BRI1_Hordeum,0,3558
BRI1_Triticum,0,3827
BRI1_like_3_like_Oryza,0,3455
BRL1_Brachypodium,0,3815
BRL1_Oryza,0,4701
BRL1_like_Sorghum,0,3899
BRL1_lile_Hordeum,0,4289
OsBRL3,0,3645
