Off-target gene id,counts,Target
Bradi1g07740,2,CBF1
Bradi1g30240,3,CBF1
Bradi1g56830,2,CBF1
Bradi3g58620,3,CBF1
Bradi5g00720,2,CBF1
Bradi1g67370,3,CBF3
