seqname,source,feature,start,end,score,strand,frame,attribute,motif
Bd1,phytozome9_0,gene,10581,11638,.,+,.,Bradi1g00200,2
Bd1,phytozome9_0,gene,18479,23039,.,+,.,Bradi1g00210,1
Bd1,phytozome9_0,gene,55668,56319,.,+,.,Bradi1g00220,1
Bd1,phytozome9_0,gene,59775,61313,.,+,.,Bradi1g00227,1
Bd1,phytozome9_0,gene,94978,100493,.,+,.,Bradi1g00237,3
Bd1,phytozome9_0,gene,104574,106621,.,-,.,Bradi1g00247,1
Bd1,phytozome9_0,gene,113302,121778,.,+,.,Bradi1g00260,1
Bd1,phytozome9_0,gene,123699,126002,.,+,.,Bradi1g00270,1
Bd1,phytozome9_0,gene,126302,133805,.,-,.,Bradi1g00280,2
Bd1,phytozome9_0,gene,150594,153007,.,-,.,Bradi1g00290,2
Bd1,phytozome9_0,gene,173241,174712,.,+,.,Bradi1g00300,1
Bd1,phytozome9_0,gene,245977,247080,.,+,.,Bradi1g00340,1
Bd1,phytozome9_0,gene,324003,329816,.,+,.,Bradi1g00390,1
Bd1,phytozome9_0,gene,373745,379286,.,+,.,Bradi1g00427,1
Bd1,phytozome9_0,gene,383621,387469,.,-,.,Bradi1g00450,1
Bd1,phytozome9_0,gene,388064,396012,.,-,.,Bradi1g00460,1
Bd1,phytozome9_0,gene,399150,402659,.,+,.,Bradi1g00470,1
Bd1,phytozome9_0,gene,400545,407267,.,-,.,Bradi1g00480,1
Bd1,phytozome9_0,gene,411505,412921,.,+,.,Bradi1g00490,1
Bd1,phytozome9_0,gene,416266,418233,.,-,.,Bradi1g00497,1
Bd1,phytozome9_0,gene,422744,424450,.,+,.,Bradi1g00510,1
Bd1,phytozome9_0,gene,425618,430780,.,-,.,Bradi1g00517,3
Bd1,phytozome9_0,gene,435299,438047,.,+,.,Bradi1g00530,4
Bd1,phytozome9_0,gene,455520,462813,.,-,.,Bradi1g00567,2
Bd1,phytozome9_0,gene,481247,482062,.,-,.,Bradi1g00600,1
Bd1,phytozome9_0,gene,485291,498694,.,+,.,Bradi1g00607,1
Bd1,phytozome9_0,gene,500221,502628,.,+,.,Bradi1g00620,1
Bd1,phytozome9_0,gene,502638,503538,.,-,.,Bradi1g00630,1
Bd1,phytozome9_0,gene,515951,516775,.,+,.,Bradi1g00650,2
Bd1,phytozome9_0,gene,517657,518648,.,+,.,Bradi1g00660,1
Bd1,phytozome9_0,gene,521659,522548,.,+,.,Bradi1g00670,1
Bd1,phytozome9_0,gene,534432,535942,.,+,.,Bradi1g00690,1
Bd1,phytozome9_0,gene,542752,544677,.,+,.,Bradi1g00700,1
Bd1,phytozome9_0,gene,560682,564352,.,+,.,Bradi1g00750,1
Bd1,phytozome9_0,gene,565638,570467,.,+,.,Bradi1g00760,1
Bd1,phytozome9_0,gene,579859,581594,.,-,.,Bradi1g00780,1
Bd1,phytozome9_0,gene,590133,590924,.,-,.,Bradi1g00800,2
Bd1,phytozome9_0,gene,591502,592877,.,-,.,Bradi1g00807,2
Bd1,phytozome9_0,gene,594037,597877,.,-,.,Bradi1g00820,2
Bd1,phytozome9_0,gene,599949,602041,.,+,.,Bradi1g00830,1
Bd1,phytozome9_0,gene,605902,607863,.,+,.,Bradi1g00840,1
Bd1,phytozome9_0,gene,610970,615963,.,-,.,Bradi1g00847,1
Bd1,phytozome9_0,gene,621420,622308,.,+,.,Bradi1g00867,1
Bd1,phytozome9_0,gene,623143,623742,.,+,.,Bradi1g00880,1
Bd1,phytozome9_0,gene,637592,638629,.,-,.,Bradi1g00900,1
Bd1,phytozome9_0,gene,641380,642212,.,+,.,Bradi1g00910,1
Bd1,phytozome9_0,gene,643678,644861,.,-,.,Bradi1g00920,1
Bd1,phytozome9_0,gene,646726,648745,.,+,.,Bradi1g00930,1
Bd1,phytozome9_0,gene,649583,652456,.,+,.,Bradi1g00940,1
Bd1,phytozome9_0,gene,685588,691368,.,-,.,Bradi1g00990,2
Bd1,phytozome9_0,gene,694578,696333,.,+,.,Bradi1g01000,2
Bd1,phytozome9_0,gene,695876,702209,.,-,.,Bradi1g01007,2
Bd1,phytozome9_0,gene,703492,705801,.,-,.,Bradi1g01014,2
Bd1,phytozome9_0,gene,706038,708663,.,-,.,Bradi1g01021,1
Bd1,phytozome9_0,gene,710464,714401,.,+,.,Bradi1g01040,2
